Plant_ID,Host,Treatment,RootMass_g,ShootMass_g
1,AcS,187,0.0023,0.0025
2,AcS,187,0.0007,0.0006
3,AcS,187,0.0019,0.0013
4,AcS,187,0.0015,0.0017
5,AcS,187,0.0011,0.0012
6,AcS,187,0.0019,0.0022
7,Suc,187,0.0584,0.1162
8,Suc,187,0.038,0.0841
9,Suc,187,0.0522,0.1091
10,Suc,187,0.0292,0.0578
11,Suc,187,0.0599,0.1116
12,Suc,187,0.0958,0.1489
13,Suc,187,0.67,0.0811
14,Nan,187,0.013,0.0447
15,Nan,187,0.0299,0.0699
16,Nan,187,0.0113,0.0361
17,Nan,187,0.0181,0.0425
18,Nan,187,0.019,0.0566
19,Nan,187,0.0289,0.0618
20,Nan,187,0.0147,0.0232
21,AcW,187,0.0143,0.0114
22,AcW,187,0.0041,0.0061
23,AcW,187,0.0034,0.0033
24,AcW,187,0.02,0.0068
29,Bic,187,0.0065,0.0141
25,AcW,187,0.0083,0.0039
26,AcW,187,0.0062,0.004
27,AcW,187,0.0065,0.0078
28,Bic,187,0.0048,0.0085
30,Bic,187,0.0078,0.0184
31,Bic,187,0.0085,0.0039
32,Bic,187,0.0094,0.0149
33,Bic,187,0.0134,0.0399
34,AcS,156,0.0016,0.0065
35,AcS,156,0.0015,0.0014
36,AcS,156,0.0011,0.0003
37,AcS,156,0.0011,0.0007
38,AcS,156,0.0012,0.0044
39,AcS,156,0.0016,0.0054
40,Suc,156,0.025,0.0294
41,Suc,156,0.0984,0.0635
42,Suc,156,0.0912,0.0556
43,Suc,156,0.0403,0.1257
44,Suc,156,0.0677,0.1249
46,Suc,156,0.0278,0.0517
47,Nan,156,0.0148,0.038
48,Nan,156,0.0148,0.041
49,Nan,156,0.0077,0.0168
45,Suc,156,0.1115,0.0071
50,Nan,156,0.0102,0.0422
51,Nan,156,0.0069,0.0342
52,Nan,156,0.0123,0.03
53,Nan,156,0.0283,0.058
54,AcW,156,0.016,0.005
55,AcW,156,0.0044,0.0038
56,AcW,156,0.0049,0.006
57,AcW,156,0.0115,0.0047
58,AcW,156,0.0041,0.005
59,AcW,156,0.0171,0.0088
60,AcW,156,0.0112,0.0077
61,Bic,156,0.0036,0.0083
62,Bic,156,0.0089,0.0106
63,Bic,156,0.0063,0.0071
64,Bic,156,0.0055,0.0115
65,Bic,156,0.0035,0.0064
66,Bic,156,0.0048,0.0074
67,AcS,2,0.0031,NA
68,AcS,2,0.0019,0.0008
69,AcS,2,0.0016,0.003
70,AcS,2,0.0008,0.0013
71,AcS,2,0.0013,0.0011
72,AcS,2,0.0057,0.0109
73,Suc,2,0.0598,0.0572
74,Suc,2,0.0703,0.1344
75,Suc,2,0.0275,0.0702
76,Suc,2,0.0313,0.0484
77,Suc,2,0.0303,0.0932
78,Suc,2,0.0593,0.0701
79,Nan,2,0.0158,0.0258
80,Nan,2,0.0201,0.036
81,Nan,2,0.0219,0.0311
82,Nan,2,0.0245,0.0341
83,Nan,2,0.0321,0.0366
84,Nan,2,0.0118,0.0614
