plant_id,host,treatment,nodule_id,nodule_area
167,Bic,4,1,0.009
167,Bic,4,2,0.011
167,Bic,4,3,0.032
167,Bic,4,4,0.007
167,Bic,4,5,0.002
167,Bic,4,6,0.004
167,Bic,4,7,0.028
167,Bic,4,8,0.018
167,Bic,4,9,0.006
167,Bic,4,10,0.007
167,Bic,4,11,0.013
167,Bic,4,12,0.056
167,Bic,4,13,0.009
167,Bic,4,14,0.04
167,Bic,4,15,0.011
167,Bic,4,16,0.014
166,Bic,4,1,0.036
166,Bic,4,2,0.013
166,Bic,4,3,0.018
166,Bic,4,4,0.003
166,Bic,4,5,0.007
252,AcW,186,1,0.015
252,AcW,186,2,0.021
263,Bic,186,1,0.017
263,Bic,186,2,0.035
263,Bic,186,3,0.05
263,Bic,186,4,0.024
263,Bic,186,5,0.021
261,Bic,186,1,0.015
261,Bic,186,2,0.01
261,Bic,186,3,0.021
261,Bic,186,4,0.009
261,Bic,186,5,0.012
261,Bic,186,6,0.02
261,Bic,186,7,0.006
261,Bic,186,8,0.006
261,Bic,186,9,0.004
261,Bic,186,10,0.01
261,Bic,186,11,0.015
261,Bic,186,12,0.033
261,Bic,186,13,0.04
261,Bic,186,14,0.05
261,Bic,186,15,0.047
261,Bic,186,16,0.007
261,Bic,186,17,0.013
234,AcS,186,1,0.023
234,AcS,186,2,0.017
234,AcS,186,3,0.009
234,AcS,186,4,0.022
234,AcS,186,5,0.009
40,Suc,156,1,0.01
40,Suc,156,2,0.016
40,Suc,156,3,0.002
40,Suc,156,4,0.006
40,Suc,156,5,0.27
40,Suc,156,6,0.008
40,Suc,156,7,0.024
40,Suc,156,8,0.037
40,Suc,156,9,0.008
40,Suc,156,10,0.014
40,Suc,156,11,0.017
7,Suc,187,1,0.012
7,Suc,187,2,0.028
7,Suc,187,3,0.021
7,Suc,187,4,0.02
7,Suc,187,5,0.1
7,Suc,187,6,0.028
7,Suc,187,7,0.11
7,Suc,187,8,0.026
7,Suc,187,9,0.117
7,Suc,187,10,0.026
7,Suc,187,11,0.026
7,Suc,187,12,0.01
7,Suc,187,13,0.012
7,Suc,187,14,0.052
7,Suc,187,15,0.01
7,Suc,187,16,0.02
7,Suc,187,17,0.02
7,Suc,187,18,0.01
235,AcS,186,1,0.028
235,AcS,186,2,0.013
235,AcS,186,3,0.036
235,AcS,186,4,0.007
235,AcS,186,5,0.01
235,AcS,186,6,0.005
235,AcS,186,7,0.01
235,AcS,186,8,0.024
235,AcS,186,9,0.029
235,AcS,186,10,0.05
131,AcS,200,1,0.015
131,AcS,200,2,0.022
142,Suc,200,1,0.06
142,Suc,200,2,0.061
142,Suc,200,3,0.055
142,Suc,200,4,0.05
142,Suc,200,5,0.095
142,Suc,200,6,0.063
260,Bic,186,1,0.008
260,Bic,186,2,0.007
260,Bic,186,3,0.014
260,Bic,186,4,0.025
260,Bic,186,5,0.012
260,Bic,186,6,0.019
260,Bic,186,7,0.016
260,Bic,186,8,0.013
260,Bic,186,9,0.021
260,Bic,186,10,0.014
260,Bic,186,11,0.018
260,Bic,186,12,0.019
260,Bic,186,13,0.005
260,Bic,186,14,0.03
260,Bic,186,15,0.049
260,Bic,186,16,0.06
260,Bic,186,17,0.074
260,Bic,186,18,0.039
260,Bic,186,19,0.017
260,Bic,186,20,0.018
